year,session,code,unit,max_mark,UMS_100,A*,A,B,C,D,E
2025,June,AC01,ACCOUNTING UNIT 1,80,70,,54,46,38,30,22
2025,June,AC02,ACCOUNTING UNIT 2,80,69,,53,45,37,29,22
2025,June,BL01,BIOLOGY UNIT 1,75,53,,43,38,34,30,26
2025,June,BL02,BIOLOGY UNIT 2,75,56,,46,41,36,31,27
2025,June,BL03,BIOLOGY UNIT 3,75,56,51,46,41,36,31,27
2025,June,BL04,BIOLOGY UNIT 4,75,59,54,49,44,39,34,29
2025,June,BL05,BIOLOGY UNIT 5,75,57,52,47,42,37,32,28
2025,June,BU01,BUSINESS UNIT 1,80,70,,56,49,42,35,28
2025,June,BU02,BUSINESS UNIT 2,80,68,,54,47,40,33,27
2025,June,BU03,BUSINESS UNIT 3,80,69,62,55,48,41,34,27
2025,June,BU04,BUSINESS UNIT 4,80,76,68,60,52,45,38,31
2025,June,CH01,CHEMISTRY UNIT 1,70,70,,58,51,44,38,32
2025,June,CH02,CHEMISTRY UNIT 2,70,70,,60,53,46,39,33
2025,June,CH03,CHEMISTRY UNIT 3,80,79,73,67,59,51,43,35
2025,June,CH04,CHEMISTRY UNIT 4,80,75,67,59,51,43,35,27
2025,June,CH05,CHEMISTRY UNIT 5,60,52,47,42,37,33,29,25
2025,June,CS01,COMPUTER SCIENCE UNIT 1,75,69,,53,45,37,30,23
2025,June,CS02,COMPUTER SCIENCE UNIT 2,75,70,,54,46,39,32,25
2025,June,EC01,ECONOMICS UNIT 1,80,75,,59,51,43,35,28
2025,June,EC02,ECONOMICS UNIT 2,80,72,,58,51,44,37,31
2025,June,EC03,ECONOMICS UNIT 3,90,80,72,64,56,48,40,33
2025,June,EC04,ECONOMICS UNIT 4,90,80,72,64,56,48,40,33
2025,June,EN01,ENGLISH LANGUAGE UNIT 1,50,48,,38,33,29,25,21
2025,June,EN02,ENGLISH LANGUAGE UNIT 2,50,45,,37,33,29,25,21
2025,June,EN03,ENGLISH LANGUAGE UNIT 3,50,49,44,39,34,30,26,22
2025,June,EN04A,ENGLISH LANGUAGE UNIT 4A,50,50,45,40,35,30,25,20
2025,June,EN04B,ENGLISH LANGUAGE UNIT 4B,50,49,45,41,35,30,25,20
2025,June,FM01,FURTHER MATHS UNIT 1 (FP1),80,76,,60,52,44,37,30
2025,June,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,75,,61,54,47,40,33
2025,June,FM03,FURTHER MATHS UNIT 3 (FP2),120,118,106,94,82,70,58,46
2025,June,FM04,FURTHER MATHS UNIT 4 (FS2),80,76,68,60,52,44,37,30
