session,code,unit,max_mark,9,8,7,6,5,4,3,2,1
January 2019,4EA1,English Language A,150,119,106,94,84,74,64,48,32,16
January 2019,4EA1,English Language A,150,121,109,97,86,76,66,49,33,17
January 2019,4EA1,English Language A,150,116,105,94,84,74,64,48,32,16
January 2019,4EA1,English Language A,150,119,108,97,86,76,66,49,33,17
January 2020,4AC1,Accounting,150,127,116,105,94,83,72,57,43,29
January 2020,4EB1,English Language B,100,77,70,64,60,56,53,40,27,15
January 2020,4EB1,English Language B,100,77,69,62,59,56,53,40,27,15
January 2021,4BI1,Biology,180,129,109,89,70,51,33,28,23,18
January 2021,4BI1,Biology,180,129,110,91,74,58,42,35,28,22
January 2022,4BI1,Biology,180,128,111,94,76,58,40,31,23,15
January 2022,4MA1,Mathematics A (Foundation),200,,,,,119,90,66,43,20
January 2022,4MA1,Mathematics A (Higher),200,136,111,86,64,42,21,10,,
January 2022,4MA1,Mathematics A (Foundation),200,,,,,118,89,66,43,20
January 2023,4AC1,Accounting,150,109,93,78,68,58,48,37,26,15
January 2023,4ET1,English Literature,150,109,100,92,81,71,61,47,33,19
January 2023,4ET1,English Literature,150,117,108,99,88,77,66,51,36,21
January 2023,4HB1,Human Biology,180,135,119,104,88,73,58,47,36,26
January 2023,4MA1,Mathematics A (Foundation),200,,,,,128,98,73,48,23
January 2023,4MA1,Mathematics A (Higher),200,142,117,92,69,47,25,14,,
January 2023,4MA1,Mathematics A (Foundation),200,,,,,135,104,78,52,26
January 2023,4MA1,Mathematics A (Higher),200,149,124,99,75,52,29,17,,
January 2023,4MB1,Mathematics B,300,185,146,108,87,66,46,36,,
January 2023,4MB1,Mathematics B,300,189,150,112,90,68,46,35,,
January 2023,4PM1,Further Pure Mathematics,200,136,106,77,61,46,31,23,,
January 2023,4PM1,Further Pure Mathematics,200,140,110,81,66,51,36,28,,
June 2018,4EA1,English Language A,150,111,103,96,86,76,66,49,32,16
June 2018,4EA1,English Language A,150,119,108,98,87,77,67,50,33,17
June 2018,4EA1,English Language A,150,122,110,98,87,77,67,50,33,16
June 2018,4EA1,English Language A,150,119,109,99,88,77,67,50,33,17
June 2019,4AC1,Accounting,150,121,111,102,93,85,77,61,45,30
June 2019,4AC1,Accounting,150,131,122,113,105,97,89,72,55,38
June 2019,4CH1,Chemistry,180,143,126,109,98,87,76,62,48,35
June 2019,4CH1,Chemistry,180,152,134,117,106,95,85,69,53,38
June 2019,4ET1,English Literature,150,114,104,94,83,73,63,46,30,14
June 2019,4ET1,English Literature,150,116,106,97,86,76,66,49,32,16
June 2019,4ET1,English Literature,150,109,97,86,78,70,63,46,30,14
June 2019,4ET1,English Literature,150,115,104,94,84,74,65,48,32,16
June 2019,4HB1,Human Biology,180,148,138,128,117,106,95,79,63,48
June 2019,4HB1,Human Biology,180,148,138,128,117,106,95,79,64,49
June 2022,4AA1,Arabic (First Language),125,85,75,65,57,49,42,31,21,11
June 2022,4AC1,Accounting,150,109,93,78,68,58,48,37,26,15
June 2022,4AC1,Accounting,150,122,104,86,76,66,56,43,30,18
June 2022,4CH1,Chemistry,180,140,117,95,80,65,51,41,31,21
June 2022,4CH1,Chemistry,180,136,112,88,74,61,48,38,28,18
June 2022,4CM1,Commerce,160,106,93,81,74,67,60,50,40,30
June 2022,4CM1,Commerce,160,110,97,85,78,71,65,53,41,30
June 2022,4CN1,Chinese,160,147,141,135,126,117,109,88,67,47
June 2022,4CN1,Chinese,160,143,129,116,104,92,81,64,47,31
June 2022,4CP0,Computer Science,160,128,115,102,87,73,59,43,28,13
June 2022,4EA1,English Language A,150,113,104,96,86,76,66,50,35,20
June 2022,4EA1,English Language A,150,122,113,104,93,82,71,55,39,24
June 2022,4EA1,English Language A,150,113,104,95,85,75,66,50,34,18
June 2022,4EA1,English Language A,150,122,112,103,92,81,71,54,38,22
June 2022,4EB1,English Language B,100,66,59,53,49,45,42,32,23,14
June 2022,4EB1,English Language B,100,69,63,57,53,50,47,37,28,19
June 2022,4EC1,Economics,160,107,95,84,74,64,55,46,37,28
